Date,Country,Region,City,New Cases,Total Cases,New Deaths,Total Deaths,New Recoveries,Total Recoveries,Active Cases,New Tests,Total Tests,New Vaccinations,Total Vaccinations,Age Group,Gender,Hospitalizations,ICU Admissions,Case Fatality Rate (%),Test Positivity Rate (%),Vaccination Rate (%),Latitude,Longitude,Variant Prevalence,Population
2025-07-01,India,Karnataka,Bengaluru,1330,341015,1,35240,310,333431,-27656,8186,8891045,282,36384515,0–9,Male,134,180,10.33,16.25,3638.45,12.97,77.59,Omicron,99194756
2025-07-01,India,Karnataka,Bengaluru,821,80395,42,31845,1229,59915,-11365,10335,7284545,2656,8609936,0–9,Female,762,22,39.61,7.94,860.99,12.97,77.59,Delta,29136879
2025-07-01,India,Karnataka,Bengaluru,461,122787,41,8527,1057,67659,46601,8843,4437099,4828,757040,0–9,Other,875,54,6.94,5.21,75.7,12.97,77.59,Omicron,21395129
2025-07-01,India,Karnataka,Bengaluru,525,397834,39,2100,1324,373714,22020,6058,4529432,1059,12055790,10–19,Male,644,85,0.53,8.67,1205.58,12.97,77.59,BA.2.86,52088751
2025-07-01,India,Karnataka,Bengaluru,1152,443726,33,41137,137,299665,102924,5641,2060683,4140,6500972,10–19,Female,350,163,9.27,20.42,650.1,12.97,77.59,XBB.1.5,2531870
2025-07-01,India,Karnataka,Bengaluru,1275,110791,27,42742,1577,389705,-321656,14603,1251486,960,9070285,10–19,Other,317,90,38.58,8.73,907.03,12.97,77.59,Omicron,71187161
2025-07-01,India,Karnataka,Bengaluru,1366,326755,2,25389,585,37002,264364,8010,5003674,4126,9223728,20–29,Male,358,22,7.77,17.05,922.37,12.97,77.59,BA.2.86,1250076
2025-07-01,India,Karnataka,Bengaluru,613,444183,33,10967,506,245948,187268,1161,4034156,4900,10007239,20–29,Female,485,135,2.47,52.8,1000.72,12.97,77.59,Omicron,52850686
2025-07-01,India,Karnataka,Bengaluru,1504,379850,19,37384,265,334341,8125,13184,9256086,1091,15244551,20–29,Other,958,140,9.84,11.41,1524.46,12.97,77.59,BA.2.86,32306306
2025-07-01,India,Karnataka,Bengaluru,1774,104588,10,28532,433,111903,-35847,6652,5148635,4772,33029308,30–39,Male,285,146,27.28,26.67,3302.93,12.97,77.59,Delta,68689422
2025-07-01,India,Karnataka,Bengaluru,504,213500,40,42430,567,110483,60587,1531,9653059,1021,37639517,30–39,Female,198,108,19.87,32.92,3763.95,12.97,77.59,Omicron,45250137
2025-07-01,India,Karnataka,Bengaluru,835,379810,24,29129,1303,125244,225437,7396,6357369,2023,16010932,30–39,Other,339,156,7.67,11.29,1601.09,12.97,77.59,BA.2.86,99494909
2025-07-01,India,Karnataka,Bengaluru,1826,252800,33,47418,562,117637,87745,1892,2341359,2507,34057959,40–49,Male,119,198,18.76,96.51,3405.8,12.97,77.59,XBB.1.5,28270432
2025-07-01,India,Karnataka,Bengaluru,1649,437790,18,29091,1821,141700,266999,19062,4931365,1029,16162660,40–49,Female,406,120,6.64,8.65,1616.27,12.97,77.59,XBB.1.5,16175860
2025-07-01,India,Karnataka,Bengaluru,1209,287524,26,6963,1444,39394,241167,10071,9082434,1447,29749596,40–49,Other,817,75,2.42,12.0,2974.96,12.97,77.59,BA.2.86,86483544
2025-07-01,India,Karnataka,Bengaluru,1117,15213,1,25761,430,269681,-280229,4987,9849895,2345,4497983,50–59,Male,679,155,169.34,22.4,449.8,12.97,77.59,XBB.1.5,45015113
2025-07-01,India,Karnataka,Bengaluru,593,490216,3,11269,1630,22656,456291,6378,2542569,1341,16211868,50–59,Female,114,121,2.3,9.3,1621.19,12.97,77.59,BA.2.86,99098797
2025-07-01,India,Karnataka,Bengaluru,1765,279190,46,30571,517,389040,-140421,6033,374939,1987,20442318,50–59,Other,247,150,10.95,29.26,2044.23,12.97,77.59,Delta,36712821
2025-07-01,India,Karnataka,Bengaluru,1866,159048,14,16468,465,263974,-121394,19814,4548748,1378,6371695,60–69,Male,390,24,10.35,9.42,637.17,12.97,77.59,XBB.1.5,87552780
2025-07-01,India,Karnataka,Bengaluru,611,161991,19,14093,1062,34827,113071,7105,1681378,81,49990493,60–69,Female,712,79,8.7,8.6,4999.05,12.97,77.59,BA.2.86,65990062
2025-07-01,India,Karnataka,Bengaluru,580,417319,8,30448,718,335647,51224,12670,6254085,4642,17137048,60–69,Other,806,10,7.3,4.58,1713.7,12.97,77.59,EG.5,85949475
2025-07-01,India,Karnataka,Bengaluru,77,61041,33,21923,1148,222111,-182993,10020,119210,2517,38215132,70+,Male,275,148,35.92,0.77,3821.51,12.97,77.59,XBB.1.5,15578566
2025-07-01,India,Karnataka,Bengaluru,1088,340600,47,49465,1876,148422,142713,2016,5160948,2741,38559145,70+,Female,443,18,14.52,53.97,3855.91,12.97,77.59,EG.5,88207847
2025-07-01,India,Karnataka,Bengaluru,984,319890,26,46176,1271,346573,-72859,17061,1168219,2834,21478530,70+,Other,423,192,14.43,5.77,2147.85,12.97,77.59,XBB.1.5,74134973
2025-07-01,USA,California,Los Angeles,345,38516,26,34216,1369,206740,-202440,14352,1402850,623,40103017,0–9,Male,157,171,88.84,2.4,4010.3,34.05,-118.25,BA.2.86,70639397
2025-07-01,USA,California,Los Angeles,716,253296,27,7920,1031,323021,-77645,2938,5863770,2153,21562271,0–9,Female,235,105,3.13,24.37,2156.23,34.05,-118.25,XBB.1.5,43427270
2025-07-01,USA,California,Los Angeles,361,209895,26,26056,1309,179291,4548,9587,819026,1071,5060092,0–9,Other,163,192,12.41,3.77,506.01,34.05,-118.25,Delta,16034101
2025-07-01,USA,California,Los Angeles,1169,211769,37,23426,634,166569,21774,18458,5301022,1187,31238233,10–19,Male,999,20,11.06,6.33,3123.82,34.05,-118.25,Omicron,87041456
2025-07-01,USA,California,Los Angeles,1443,6726,35,45622,781,9219,-48115,2717,1600891,662,3749041,10–19,Female,431,140,678.29,53.11,374.9,34.05,-118.25,XBB.1.5,2285724
